Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Tina Charles,5,NYL,803,0,ATL,1,83,76,37,10,19,0,0,9,14,5,9,14,2,3,1,2,1,29,33,,
Tina Charles,5,NYL,805,0,WAS,0,46,79,27,4,9,0,0,2,2,1,3,4,3,1,1,1,1,10,13,,
Tina Charles,5,NYL,808,1,CON,1,71,66,37,6,14,0,0,3,7,4,10,14,0,2,2,2,1,15,19,,
Tina Charles,5,NYL,810,1,IND,0,76,90,36,6,15,0,0,5,6,0,2,2,5,3,1,6,0,17,12,,
Tina Charles,5,NYL,812,1,PHO,0,64,76,38,11,22,0,0,4,4,2,10,12,2,3,0,1,1,26,31,,
Tina Charles,5,NYL,814,0,IND,0,63,76,36,5,12,0,0,5,8,2,8,10,0,2,1,3,1,15,15,,
Tina Charles,5,NYL,816,0,WAS,1,73,61,26,3,8,0,0,1,2,0,5,5,1,2,1,1,3,7,9,,
Tina Charles,5,NYL,817,1,IND,1,73,61,9,2,3,0,0,0,0,0,3,3,1,0,0,0,0,4,7,,
Diana Taurasi,6,PHO,517,1,SEA,1,81,64,26,4,7,1,3,0,0,0,4,4,3,1,0,3,3,9,11,,
Diana Taurasi,6,PHO,518,0,LAS,1,74,69,36,7,16,3,9,6,6,0,6,6,6,3,0,5,2,23,24,,
Diana Taurasi,6,PHO,523,1,SAN,0,74,78,37,8,14,1,4,4,5,0,2,2,9,0,0,3,4,21,22,,
Diana Taurasi,6,PHO,530,1,TUL,1,100,78,22,3,7,2,3,8,8,0,3,3,1,0,0,2,2,16,14,,
Diana Taurasi,6,PHO,603,1,SEA,1,87,72,33,6,13,2,7,6,6,1,3,4,7,1,0,3,4,20,22,,
Diana Taurasi,6,PHO,606,0,TUL,0,78,94,29,5,12,0,2,12,12,0,3,3,3,1,0,2,5,22,20,,
Diana Taurasi,6,PHO,607,0,SAN,1,91,79,41,7,17,4,10,1,2,1,6,7,5,1,0,6,5,19,15,,
Diana Taurasi,6,PHO,610,0,WAS,1,81,66,31,6,10,1,4,0,0,0,3,3,10,2,0,3,3,13,21,,
Diana Taurasi,6,PHO,612,0,CON,0,95,96,34,4,10,0,4,11,12,0,2,2,6,0,0,2,5,19,18,,
Diana Taurasi,6,PHO,615,0,MIN,1,80,72,36,6,10,2,4,7,8,1,5,6,11,0,2,1,2,21,34,,
Diana Taurasi,6,PHO,618,1,MIN,1,92,79,31,8,14,5,10,1,1,1,9,10,6,0,0,1,5,22,31,,
Diana Taurasi,6,PHO,620,1,TUL,1,91,80,31,4,11,2,3,4,4,1,3,4,12,0,0,2,3,14,21,,
Diana Taurasi,6,PHO,627,0,IND,1,81,76,33,5,12,2,5,11,11,0,0,0,1,2,1,1,3,23,19,,
Diana Taurasi,6,PHO,629,0,TUL,1,80,77,33,5,10,1,4,3,3,0,1,1,8,2,1,2,4,14,19,,
Diana Taurasi,6,PHO,702,1,CHI,1,87,69,26,4,9,2,5,5,6,0,5,5,4,0,0,2,1,15,16,,
Diana Taurasi,6,PHO,706,0,LAS,1,94,89,38,11,20,7,10,3,5,0,2,2,6,1,1,3,3,32,28,,
Diana Taurasi,6,PHO,709,1,SEA,1,78,58,22,4,7,0,2,3,3,0,1,1,3,1,0,1,2,11,12,,
Diana Taurasi,6,PHO,711,0,CHI,1,72,66,30,4,13,4,6,7,8,1,1,2,5,1,0,4,2,19,13,,
Diana Taurasi,6,PHO,713,1,SAN,1,90,61,23,4,8,1,2,0,0,0,8,8,8,0,0,1,3,9,20,,
Diana Taurasi,6,PHO,715,1,WAS,1,90,78,33,6,10,4,5,2,4,0,6,6,4,1,0,4,3,18,19,,
Diana Taurasi,6,PHO,717,1,CON,1,101,85,31,4,11,2,7,4,4,0,3,3,6,1,0,4,1,14,13,,
Diana Taurasi,6,PHO,722,0,SEA,1,89,71,29,8,10,4,5,2,4,0,5,5,6,1,1,4,3,22,27,,
Diana Taurasi,6,PHO,724,0,LAS,1,93,73,32,5,17,2,10,6,8,0,2,2,7,1,0,3,4,18,11,,
Diana Taurasi,6,PHO,726,1,NYL,1,78,63,30,6,12,2,5,1,2,0,5,5,10,0,1,4,2,15,20,,
Diana Taurasi,6,PHO,729,1,LAS,1,90,69,26,6,11,1,4,4,4,0,2,2,4,1,0,1,1,17,18,,
Diana Taurasi,6,PHO,731,0,MIN,0,67,75,36,5,21,0,7,0,0,0,6,6,6,0,1,4,5,10,3,,
Diana Taurasi,6,PHO,802,1,IND,1,79,69,32,4,9,3,7,4,4,0,3,3,5,1,0,1,2,15,18,,
Diana Taurasi,6,PHO,805,1,ATL,1,75,67,28,6,11,0,4,2,3,2,3,5,4,0,0,3,2,14,14,,
Diana Taurasi,6,PHO,807,0,SAN,1,78,73,39,1,5,0,4,5,5,1,3,4,3,0,0,1,3,7,9,,
Diana Taurasi,6,PHO,809,1,MIN,1,82,80,33,9,21,1,5,5,5,1,4,5,5,0,1,2,4,24,21,,
Diana Taurasi,6,PHO,812,0,NYL,1,76,64,27,5,11,3,6,1,2,0,0,0,4,0,0,5,3,14,6,,
Diana Taurasi,6,PHO,816,1,LAS,1,76,69,20,1,5,0,1,2,2,0,3,3,4,0,0,3,2,4,4,,
